DATE,경상수지,상품수지
2014-01-01,1837.7,3674.4
2014-02-01,4812.5,5930.7
2014-03-01,6182.8,7450.3
2014-04-01,6875.5,9833.7
2014-05-01,9148.3,8560.9
2014-06-01,7768.8,6088.3
2014-07-01,6198.8,5421.5
2014-08-01,6793.9,6749.3
2014-09-01,7418.7,8012.6
2014-10-01,8604.5,7730.6
2014-11-01,10582.7,9364.2
2014-12-01,6805.4,7328.5
2015-01-01,7076,6718.7
2015-02-01,6136.4,6870.5
2015-03-01,9761.5,10495.9
2015-04-01,7221.6,11734.5
2015-05-01,7958.8,8584.8
2015-06-01,11546.2,12773.4
2015-07-01,9367.2,10181.4
2015-08-01,8119.4,8652.3
2015-09-01,10600.3,12026.3
2015-10-01,9561,10843.3
2015-11-01,9727.7,10448.6
2015-12-01,8042.5,10945.3
2016-01-01,7317.4,8255
2016-02-01,7927.5,8143.3
2016-03-01,11122.8,13316.3
2016-04-01,4184.3,9893.3
2016-05-01,10491,10237.7
2016-06-01,12409.7,12413.1
2016-07-01,8831.8,10486.8
2016-08-01,5410.1,6791
2016-09-01,7517.5,9894.6
2016-10-01,7476.8,8874.9
2016-11-01,7873.3,9453.1
2016-12-01,7361.5,8702.6
2017-01-01,3401.7,6687.5
2017-02-01,7438.6,9432.3
2017-03-01,5140.3,8579.6
2017-04-01,3184,10925.8
2017-05-01,4262.1,7675.6
2017-06-01,7008.9,8702.4
2017-07-01,7467.4,9920.7
2017-08-01,6139.4,8647.3
2017-09-01,12337.7,14522.7
2017-10-01,6890,9417.9
2017-11-01,7474.3,11165.6
2017-12-01,4486.5,7915.5
2018-01-01,2644.6,7549.7
2018-02-01,3904.7,5571
2018-03-01,5103.9,9411.2
2018-04-01,1355.7,9620.4
2018-05-01,8434.5,10785.4
2018-06-01,7457.9,9541.1
2018-07-01,8552.3,10788.5
2018-08-01,8550.2,10922.3
2018-09-01,11013,13007.3
2018-10-01,9348.8,10654.5
2018-11-01,5223.6,7485.8
2018-12-01,4819.3,6529.4
2019-01-01,2824.9,5662.2
2019-02-01,3601.9,5479.4
2019-03-01,4819.6,8467.3
2019-04-01,-664.8,5668
2019-05-01,4949.4,5392.2
