,Open,High,Low,Close,Adj Close,Volume,OHrate,HM4UP,HM8UP,HM10UP,Olrate,LM4DN,LM8DN,LM10DN,BAA,CSUSHPINSA,PCE,LREMTTTTUSM156S,DGORDER,TWEXBMTH,UNRATENSA,TCU,INDPRO,PPIACO,CPIAUCSL,HOUST,HSN1F,FEDFUNDS,USSLIND,TOTALSA,NEWORDER,UMCSENT,AMBNS,EXJPUS,EXKOUS,EXCHUS,T10Y2YM,XTEXVA01CNM667S,GACDFSA066MSFRBPHI,XTIMVA01KRM667S,KORPROINDMISMEI,KORCPIALLMINMEI,LRUNTTTTKRM156S,IR3TCD01KRM156N
Olrate,-0.13042038403644832,-0.024283125938872507,0.18092900582113997,0.1662614995698131,0.1662614995698131,-0.033494279213949825,0.480191299683892,0.40054805334311466,0.12880813268695013,0.08691028327757425,1.0,-0.7457933853804184,-0.7760171159472976,-0.7529637034046323,-0.05569225571431446,0.06974933093681647,0.029424117628795956,0.10146151638163058,-0.05624220821539142,0.12159611662632484,-0.052062754402923454,-0.09428122868828412,-0.010984550849077996,-0.2019093978355259,0.004463256254456441,0.046188393448577524,0.08438027869423978,-0.01708413245460705,-0.06669066113231516,0.07152372077660037,-0.1161543699798084,0.13048184658800627,0.0495729317673776,0.09781668738735592,0.1574285991007835,0.11386871129053577,-0.032157404976897515,-0.04329141293677949,0.14816218654884142,-0.1990285832255253,-0.03536166264161374,-0.005347397564538368,0.10136991803515225,-0.18440543495733122
LM4DN,0.10893603941786174,0.00453755747996851,-0.12007898348921137,-0.13761601843150711,-0.13761601843150711,0.1014053601133619,-0.47006895533524024,-0.36956421364396136,-0.15018785229652756,-0.08522864845907048,-0.7457933853804184,1.0,0.46056618647183906,0.3801878126154984,0.06069367635529727,-0.055926938164244405,-0.0116424871750006,-0.0808958948019782,0.04979218407608571,-0.07920817219159641,0.001979255814826932,0.07913505839142682,0.03055861971568889,0.14274604867556745,0.017602807644856458,0.015064327434097167,-0.04677815964968278,0.00769985182150369,0.09462588258513457,-0.006650293752477011,0.1053022638360541,-0.06681731598264934,-0.018127723096421175,-0.023062330058848116,-0.10849458323579271,-0.17986414723621824,0.0136816128605337,0.0747948119190473,-0.23376890168115724,0.13320154553228286,0.023214019178993333,0.02017762930672857,-0.15267535001267205,0.12923026728705436
LM8DN,0.09446525232676627,0.04314287959082882,-0.14820680841543482,-0.11961810718595298,-0.11961810718595298,0.07611117904274588,-0.2362505342097687,-0.1702087805344626,-0.06917144638660735,-0.03925343359894302,-0.7760171159472976,0.46056618647183906,1.0,0.825479211854268,-0.011069138335068493,-0.02226469474131992,0.0073333728197019655,-0.03303164295445274,0.06349971064561573,-0.05996692779065009,0.026515038456419192,0.07367629345660455,0.020228578316861177,0.15339672003857824,0.01996641705367599,-0.019344883134243183,-0.026845727625621936,0.07952367095031974,0.0666344187490606,-0.05717964527079792,0.09607447471989769,-0.09078926566051725,-0.06041640395571457,-0.0741483437070853,-0.08844244642290502,-0.02817332473910314,-0.028502718398679436,0.0034628721224927365,-0.08488290339688309,0.15257495987850428,0.03614745662237331,0.01966374548339349,-0.04050265174478744,0.12573377170551908
LM10DN,0.011087693706174474,-0.0347114879438657,-0.21983261051791272,-0.18177182389931937,-0.18177182389931937,0.018185060512420727,-0.19768019967705183,-0.14050381000626436,-0.05709959104603605,-0.03240289342982898,-0.7529637034046323,0.3801878126154984,0.825479211854268,1.0,0.05884145115466246,-0.09453562119934805,-0.07807791113167342,-0.12217003161482082,0.01637617045399313,-0.11786028357868253,0.09642608259206698,0.03647128144430221,-0.03964192762323771,0.12006622356627575,-0.06703991421064397,-0.09029605039877431,-0.10408125484035192,-0.038711947413150316,0.04900658451827396,-0.08595111839856615,0.048736285824810335,-0.12412998271537275,-0.07828954710734914,-0.08623004618328439,-0.08114366798625026,-0.03501893537217683,0.07261809541127004,-0.03212045236586008,-0.11562000807316783,0.10043712505565335,-0.015665993221189826,-0.04631466445300825,-0.07761486812925619,0.14469733883639807
BAA,-0.7112831432350839,-0.6923572661257692,-0.7255330761025741,-0.7095704421746848,-0.7095704421746848,0.1385319769590643,0.31698295326153675,0.22536300726355632,0.322366181170484,0.22500859673130405,-0.05569225571431446,0.06069367635529727,-0.011069138335068493,0.05884145115466246,1.0,-0.548666670715469,-0.7089895796133504,-0.460279981670137,-0.7851441862578393,-0.4602547142039679,0.7256692066743355,-0.742795730034124,-0.8073955946047542,-0.509178240590296,-0.7694228318744901,-0.7440956781672827,-0.6209167197856218,-0.32490434147492897,-0.7169782516897559,-0.8034745703025428,-0.6897592077679561,-0.6525619605401747,-0.7598325554119947,-0.4168442725504775,0.5153330760594718,0.30891068628691404,0.6959118223831028,-0.7990184628667136,-0.24150134844281035,-0.4962828520690221,-0.8370344493460248,-0.821925383775737,0.10427831181186788,0.4359290377163273
CSUSHPINSA,0.6723956710691075,0.6661448155784906,0.6865989292246462,0.6643994372921972,0.6643994372921972,-0.08853046732392728,-0.22062486219162586,-0.14671172955552367,-0.10980517393081818,-0.12170274927263286,0.06974933093681647,-0.055926938164244405,-0.02226469474131992,-0.09453562119934805,-0.548666670715469,1.0,0.9551561134086104,0.9574352729310865,0.6379098946191504,0.9216475510643668,-0.9270346482247779,0.38799166553032466,0.7602026847790624,0.06178239418814665,0.9037581647043879,0.8848760124044766,0.9382091587972243,0.8182361798419779,0.14659296690521284,0.7598424002800157,0.31744003891168504,0.8889301961058784,0.7083447742241201,0.803203850207327,-0.09199892047701964,0.2683617659153414,-0.8359679410462526,0.6407268816379612,0.3983599824478454,0.08018304424175343,0.6561287442553653,0.8492693841381539,0.525375798266136,-0.8774750086027263
PCE,0.7764642683087141,0.7667343441843173,0.7784044131757833,0.7623980658433898,0.7623980658433898,-0.06342184864813351,-0.27610434930428046,-0.18573200362066145,-0.17659719780387828,-0.15651352331963247,0.029424117628795956,-0.0116424871750006,0.0073333728197019655,-0.07807791113167342,-0.7089895796133504,0.9551561134086104,1.0,0.9116849895606526,0.7887948850455292,0.8845248828316312,-0.9674577439482513,0.5884928992127413,0.8825523280612126,0.2618138394011503,0.9822542566398246,0.9283467458123794,0.9243906962567908,0.7946592465004287,0.36723161312980046,0.8603241881436597,0.5276460427858448,0.9028725869361706,0.7854566977817736,0.7434193641274007,-0.22083145033532547,0.11208878155540945,-0.9046022091887197,0.7871349577650816,0.3533449406635868,0.27748764370962453,0.8202941826231988,0.9576324498369475,0.38850526455740414,-0.7844931430311782
LREMTTTTUSM156S,0.5954238851324112,0.5995789749919459,0.6202288821306289,0.6035033749110513,0.6035033749110513,0.011286654262345059,-0.1483248316922798,-0.10759872395902043,-0.039350134505694585,-0.05402522514069225,0.10146151638163058,-0.0808958948019782,-0.03303164295445274,-0.12217003161482082,-0.460279981670137,0.9574352729310865,0.9116849895606526,1.0,0.5431014959223095,0.9274958812013879,-0.8768629823151669,0.2694731506243242,0.6630909773116003,-0.03878757986367863,0.8436304673615374,0.8267139125570361,0.9257380395106082,0.8370736477415959,0.02146765537076385,0.684865326308441,0.23279188297485995,0.8482235472877542,0.5958631956283912,0.7439360943787386,0.05528381234042464,0.36357646871528954,-0.858330119359775,0.5487129713633032,0.33497074198288446,-0.011306960451459935,0.5562155898705962,0.7840313054184833,0.5862468206603016,-0.8511286526098991
DGORDER,0.7618156791344781,0.7374733204512783,0.7393483286654338,0.7305395540558449,0.7305395540558449,-0.17577284441270927,-0.35214407513770496,-0.20734386801288154,-0.2980814061276236,-0.22141781787995451,-0.05624220821539142,0.04979218407608571,0.06349971064561573,0.01637617045399313,-0.7851441862578393,0.6379098946191504,0.7887948850455292,0.5431014959223095,1.0,0.483603952140773,-0.762340859535224,0.8960549803902329,0.9377112011283596,0.68879830737688,0.8619611451175074,0.7565147221826894,0.6047344159695969,0.5372117509979774,0.6825669141701244,0.8093103789373556,0.8534140910063803,0.6560272784193653,0.7675226529685549,0.46745464915345625,-0.5834619055083736,-0.329403771827937,-0.683975130795909,0.8860634123003234,0.26928436924276417,0.6745362995764788,0.8911616520314347,0.8872363431470299,0.006009654445500148,-0.37655384915854734
TWEXBMTH,0.5063455120318182,0.5062434560713757,0.5389672162680114,0.5186103706548215,0.5186103706548215,0.045824528007880755,-0.15182363903784638,-0.12110258407454891,-0.093354235094022,-0.1022435838324733,0.12159611662632484,-0.07920817219159641,-0.05996692779065009,-0.11786028357868253,-0.4602547142039679,0.9216475510643668,0.8845248828316312,0.9274958812013879,0.483603952140773,1.0,-0.8733755306696381,0.22806498499965128,0.6273719018433354,-0.180135117770315,0.797254860649293,0.8325715738047057,0.8920356366614652,0.7078624021829261,0.0989309468544139,0.7188716538627757,0.13829363695449876,0.8683536525942107,0.6308370103353127,0.8128718028798857,0.18592329165413676,0.4121878092184325,-0.8258395102514806,0.5123465561058728,0.2633018364305813,-0.15451288421188505,0.5641074286810259,0.7608278465024306,0.5642670138650753,-0.9112679635479962
UNRATENSA,-0.7242423901004705,-0.7051908198577922,-0.7347876271071319,-0.7112813996913764,-0.7112813996913764,0.07254091874107133,0.30365625351719416,0.22291828976942438,0.19822084262023532,0.16177303683230576,-0.052062754402923454,0.001979255814826932,0.026515038456419192,0.09642608259206698,0.7256692066743355,-0.9270346482247779,-0.9674577439482513,-0.8768629823151669,-0.762340859535224,-0.8733755306696381,1.0,-0.5694432774510959,-0.8751018514368778,-0.21559790988325167,-0.9543483322818647,-0.9532339232441797,-0.9109076469370023,-0.6599844288108498,-0.4003911655063942,-0.9133506637794515,-0.48677408909100434,-0.9180680068172193,-0.867954242109674,-0.8192380911083261,0.2168857096895059,-0.012407174363984154,0.8556775023278038,-0.7844480780085998,-0.31008684661609964,-0.19749713324988,-0.7897106867419481,-0.9453832833323056,-0.3208243593023357,0.8246447374385
TCU,0.6776496360817644,0.6578795533154806,0.6439108786523329,0.6478340164929066,0.6478340164929066,-0.19846174818494494,-0.3130993271104998,-0.16653650968786407,-0.30282067663188483,-0.22277499100374956,-0.09428122868828412,0.07913505839142682,0.07367629345660455,0.03647128144430221,-0.742795730034124,0.38799166553032466,0.5884928992127413,0.2694731506243242,0.8960549803902329,0.22806498499965128,-0.5694432774510959,1.0,0.8768019727785913,0.8344541160233448,0.690664268208373,0.5399335943968194,0.34215270963467753,0.3496664339858613,0.8066022359504079,0.6719330317941623,0.9238870616905138,0.4679175446122729,0.6562744008121768,0.2799497571766707,-0.6889498642359114,-0.5054923230941228,-0.4958308197615213,0.8529290084832211,0.2131716597356684,0.817175865085312,0.8359325371155045,0.7425806805331827,-0.19582935540879087,-0.11776344666799178
INDPRO,0.7559617137982272,0.7309916460629219,0.7465431737218108,0.7318024114761268,0.7318024114761268,-0.15450020392452934,-0.3491560452312119,-0.21733853231924538,-0.26858069389387623,-0.21662802865210132,-0.010984550849077996,0.03055861971568889,0.020228578316861177,-0.03964192762323771,-0.8073955946047542,0.7602026847790624,0.8825523280612126,0.6630909773116003,0.9377112011283596,0.6273719018433354,-0.8751018514368778,0.8768019727785913,1.0,0.5947017936003626,0.9359132066412126,0.8477097965659869,0.7252863952925035,0.6042070064534387,0.6431601232404942,0.886794352133445,0.7961011484691665,0.7904864192151411,0.8510594282669506,0.6425863232091502,-0.512434402773146,-0.27513143356427977,-0.7644057098148231,0.9273464628135961,0.2958075491709284,0.567000111238856,0.8884663830197247,0.9486183557861182,0.10474573186576654,-0.5329624729688596
PPIACO,0.48385087627434675,0.46771133936873716,0.41772044603281744,0.4389814447449645,0.4389814447449645,-0.20250196392116399,-0.22542148675115187,-0.1269510696499747,-0.17824633258466144,-0.08634244863506413,-0.2019093978355259,0.14274604867556745,0.15339672003857824,0.12006622356627575,-0.509178240590296,0.06178239418814665,0.2618138394011503,-0.03878757986367863,0.68879830737688,-0.180135117770315,-0.21559790988325167,0.8344541160233448,0.5947017936003626,1.0,0.41760822243159657,0.20959406098754627,0.031238133018705445,0.17522425716576123,0.645836591758447,0.3434303129028616,0.8831795574797962,0.09609719224749251,0.3469681092720072,-0.11242931746645385,-0.7661195416722465,-0.597422800130313,-0.18303816054561542,0.6153004918219978,0.1319612430749327,0.9501920365390178,0.5985142058053855,0.45806330903849063,-0.400670347836442,0.2900615633723582
CPIAUCSL,0.7938843862795206,0.7777164905457746,0.7883744810971683,0.7741128130395954,0.7741128130395954,-0.09663553392809746,-0.3115594179715879,-0.21238373156296725,-0.2013591581527123,-0.16292067595955692,0.004463256254456441,0.017602807644856458,0.01996641705367599,-0.06703991421064397,-0.7694228318744901,0.9037581647043879,0.9822542566398246,0.8436304673615374,0.8619611451175074,0.797254860649293,-0.9543483322818647,0.690664268208373,0.9359132066412126,0.41760822243159657,1.0,0.9270329610130078,0.8830231350233603,0.748776512301976,0.4649827841111983,0.8880442125608069,0.6503268281405769,0.870364339675829,0.8221200109261165,0.6935214822720884,-0.34273091320471116,-0.03545023513870623,-0.8781851906503001,0.8547990985614531,0.33165994236510876,0.4117436062839596,0.8711733231404931,0.9856784614543804,0.26771924100108335,-0.69138875555698
HOUST,0.698084655850239,0.663253874223869,0.7068514065090026,0.6757433757140068,0.6757433757140068,-0.06617902037162711,-0.3616822620446315,-0.2934305451798028,-0.23530937364089738,-0.16383925128398302,0.046188393448577524,0.015064327434097167,-0.019344883134243183,-0.09029605039877431,-0.7440956781672827,0.8848760124044766,0.9283467458123794,0.8267139125570361,0.7565147221826894,0.8325715738047057,-0.9532339232441797,0.5399335943968194,0.8477097965659869,0.20959406098754627,0.9270329610130078,1.0,0.9053534992767164,0.5865141600077396,0.4281564833150942,0.9159496114268575,0.4631252189970398,0.9008841880484568,0.8710295418725164,0.8131243202144838,-0.24545174822628943,-0.049492866817766344,-0.8104745098652163,0.7767847257849909,0.29375589314725575,0.1832542484173312,0.7747250484925636,0.9237838284553214,0.2989682230997937,-0.816408666974934
HSN1F,0.6612762010954883,0.641979308192854,0.6823237639226002,0.651812129120783,0.651812129120783,-0.028880799087700273,-0.2754415165837854,-0.22243442111459663,-0.14950417192493629,-0.12750822539888676,0.08438027869423978,-0.04677815964968278,-0.026845727625621936,-0.10408125484035192,-0.6209167197856218,0.9382091587972243,0.9243906962567908,0.9257380395106082,0.6047344159695969,0.8920356366614652,-0.9109076469370023,0.34215270963467753,0.7252863952925035,0.031238133018705445,0.8830231350233603,0.9053534992767164,1.0,0.730449754485555,0.17252214308177613,0.7831463453382955,0.309764495841313,0.8885464726629585,0.713000983922368,0.7844714171779875,-0.08590327201029864,0.19152811267964326,-0.8502544359186313,0.6498255263035662,0.34216149368958265,0.04190199643932767,0.6338739848329826,0.840209221683532,0.45121334414365044,-0.8568301785889981
FEDFUNDS,0.6047703597393564,0.6231087636880266,0.5908522367529148,0.5863571399547723,0.5863571399547723,0.00545361266365988,-0.08640654239661663,0.017576863689328495,0.004251314894427119,-0.06798067938715711,-0.01708413245460705,0.00769985182150369,0.07952367095031974,-0.038711947413150316,-0.32490434147492897,0.8182361798419779,0.7946592465004287,0.8370736477415959,0.5372117509979774,0.7078624021829261,-0.6599844288108498,0.3496664339858613,0.6042070064534387,0.17522425716576123,0.748776512301976,0.5865141600077396,0.730449754485555,1.0,-0.0319762819465741,0.42282884585554353,0.3644771339050937,0.6237014671413815,0.2914351921603073,0.4130975502908903,-0.041405961545328905,0.42492500980202946,-0.7872184082286101,0.4803499270017941,0.34126570412837187,0.2556795833294833,0.5271952051010651,0.6573417232885981,0.5177690176949686,-0.5338668001246535
USSLIND,0.5148779306447216,0.4861318447714674,0.49429317975597004,0.4966429933351147,0.4966429933351147,-0.13465821528510877,-0.31744709398891846,-0.20155664211652097,-0.36331624974944465,-0.28391454819013273,-0.06669066113231516,0.09462588258513457,0.0666344187490606,0.04900658451827396,-0.7169782516897559,0.14659296690521284,0.36723161312980046,0.02146765537076385,0.6825669141701244,0.0989309468544139,-0.4003911655063942,0.8066022359504079,0.6431601232404942,0.645836591758447,0.4649827841111983,0.4281564833150942,0.17252214308177613,-0.0319762819465741,1.0,0.6023751901898827,0.7161592748222111,0.35525056068193167,0.6098365621359917,0.20690518783723244,-0.5823276618008472,-0.5649821542012785,-0.2613010768295698,0.6911452497836504,0.19951791623047366,0.6162912830711691,0.7304698843588425,0.5595314860584534,-0.34666453426758664,-0.059193681583013275
TOTALSA,0.6709878471197389,0.6448061777495401,0.6883602412306833,0.6688137304742912,0.6688137304742912,-0.0683399212930062,-0.3291641727372537,-0.24699245125965194,-0.2117316237568266,-0.2080959555484065,0.07152372077660037,-0.006650293752477011,-0.05717964527079792,-0.08595111839856615,-0.8034745703025428,0.7598424002800157,0.8603241881436597,0.684865326308441,0.8093103789373556,0.7188716538627757,-0.9133506637794515,0.6719330317941623,0.886794352133445,0.3434303129028616,0.8880442125608069,0.9159496114268575,0.7831463453382955,0.42282884585554353,0.6023751901898827,1.0,0.5884132010800132,0.8353407987562745,0.924297354683455,0.764660416184249,-0.32018261830275174,-0.24800608531856208,-0.7414977732159933,0.8278295413380974,0.22042246446969002,0.28163067965154454,0.816687553339662,0.9217694297857888,0.11252527454220901,-0.6979347227425985
NEWORDER,0.637198808394173,0.6220514715483605,0.5967147008391196,0.606359462625827,0.606359462625827,-0.14991643841412255,-0.2715420379094698,-0.14054306791830018,-0.2747090798118955,-0.14624065301650835,-0.1161543699798084,0.1053022638360541,0.09607447471989769,0.048736285824810335,-0.6897592077679561,0.31744003891168504,0.5276460427858448,0.23279188297485995,0.8534140910063803,0.13829363695449876,-0.48677408909100434,0.9238870616905138,0.7961011484691665,0.8831795574797962,0.6503268281405769,0.4631252189970398,0.309764495841313,0.3644771339050937,0.7161592748222111,0.5884132010800132,1.0,0.37253503724057424,0.5491761375579405,0.14507541331199392,-0.6346457023515297,-0.5248946418272482,-0.4866706245356401,0.7888183865914487,0.13492804857376325,0.863271875474035,0.7872982271334419,0.6924821279042829,-0.30162383123787434,0.008028849155728905
UMCSENT,0.6686518714171581,0.6511985975058512,0.703006224775358,0.6741190038267696,0.6741190038267696,-0.05068881748924158,-0.2847355187997665,-0.20043952873957394,-0.2097722081130891,-0.21033580358831352,0.13048184658800627,-0.06681731598264934,-0.09078926566051725,-0.12412998271537275,-0.6525619605401747,0.8889301961058784,0.9028725869361706,0.8482235472877542,0.6560272784193653,0.8683536525942107,-0.9180680068172193,0.4679175446122729,0.7904864192151411,0.09609719224749251,0.870364339675829,0.9008841880484568,0.8885464726629585,0.6237014671413815,0.35525056068193167,0.8353407987562745,0.37253503724057424,1.0,0.7914579430372666,0.8504995815129841,-0.1335452752668599,0.07612038248018696,-0.7805917379869943,0.703462855226998,0.4121053634521418,0.09118129414012081,0.7008318509147758,0.8584474744234308,0.41009977962679534,-0.8510435757083302
