feature,recall
"['Volume', 'BAA', 'TWEXBMTH', 'USSLIND']",0.125
"['Volume', 'BAA', 'TWEXBMTH', 'TOTALSA']",0.125
"['Volume', 'BAA', 'TWEXBMTH', 'NEWORDER']",0.125
"['Volume', 'BAA', 'TWEXBMTH', 'UMCSENT']",0.375
"['Volume', 'BAA', 'TWEXBMTH', 'AMBNS']",0
"['Volume', 'BAA', 'TWEXBMTH', 'EXJPUS']",0
"['Volume', 'BAA', 'TWEXBMTH', 'EXKOUS']",0.5
"['Volume', 'BAA', 'TWEXBMTH', 'EXCHUS']",0
"['Volume', 'BAA', 'TWEXBMTH', 'T10Y2YM']",0
"['Volume', 'BAA', 'TWEXBMTH', 'XTEXVA01CNM667S']",0.375
"['Volume', 'BAA', 'TWEXBMTH', 'GACDFSA066MSFRBPHI']",0.125
"['Volume', 'BAA', 'TWEXBMTH', 'XTIMVA01KRM667S']",0.375
"['Volume', 'BAA', 'TWEXBMTH', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'TWEXBMTH', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'TWEXBMTH', 'LRUNTTTTKRM156S']",0.125
"['Volume', 'BAA', 'TWEXBMTH', 'IR3TCD01KRM156N']",0.125
"['Volume', 'BAA', 'UNRATENSA', 'TCU']",0.25
"['Volume', 'BAA', 'UNRATENSA', 'INDPRO']",0.25
"['Volume', 'BAA', 'UNRATENSA', 'PPIACO']",0.5
"['Volume', 'BAA', 'UNRATENSA', 'CPIAUCSL']",0.25
"['Volume', 'BAA', 'UNRATENSA', 'HOUST']",0.375
"['Volume', 'BAA', 'UNRATENSA', 'HSN1F']",0.125
"['Volume', 'BAA', 'UNRATENSA', 'FEDFUNDS']",0
"['Volume', 'BAA', 'UNRATENSA', 'USSLIND']",0.125
"['Volume', 'BAA', 'UNRATENSA', 'TOTALSA']",0.25
"['Volume', 'BAA', 'UNRATENSA', 'NEWORDER']",0.375
"['Volume', 'BAA', 'UNRATENSA', 'UMCSENT']",0.5
"['Volume', 'BAA', 'UNRATENSA', 'AMBNS']",0.125
"['Volume', 'BAA', 'UNRATENSA', 'EXJPUS']",0
"['Volume', 'BAA', 'UNRATENSA', 'EXKOUS']",0.375
"['Volume', 'BAA', 'UNRATENSA', 'EXCHUS']",0.125
"['Volume', 'BAA', 'UNRATENSA', 'T10Y2YM']",0
"['Volume', 'BAA', 'UNRATENSA', 'XTEXVA01CNM667S']",0.375
"['Volume', 'BAA', 'UNRATENSA', 'GACDFSA066MSFRBPHI']",0.125
"['Volume', 'BAA', 'UNRATENSA', 'XTIMVA01KRM667S']",0.25
"['Volume', 'BAA', 'UNRATENSA', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'UNRATENSA', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'UNRATENSA', 'LRUNTTTTKRM156S']",0.125
"['Volume', 'BAA', 'UNRATENSA', 'IR3TCD01KRM156N']",0.25
"['Volume', 'BAA', 'TCU', 'INDPRO']",0
"['Volume', 'BAA', 'TCU', 'PPIACO']",0.125
"['Volume', 'BAA', 'TCU', 'CPIAUCSL']",0.125
"['Volume', 'BAA', 'TCU', 'HOUST']",0.125
"['Volume', 'BAA', 'TCU', 'HSN1F']",0
"['Volume', 'BAA', 'TCU', 'FEDFUNDS']",0
"['Volume', 'BAA', 'TCU', 'USSLIND']",0
"['Volume', 'BAA', 'TCU', 'TOTALSA']",0
"['Volume', 'BAA', 'TCU', 'NEWORDER']",0
"['Volume', 'BAA', 'TCU', 'UMCSENT']",0
"['Volume', 'BAA', 'TCU', 'AMBNS']",0
"['Volume', 'BAA', 'TCU', 'EXJPUS']",0
"['Volume', 'BAA', 'TCU', 'EXKOUS']",0
"['Volume', 'BAA', 'TCU', 'EXCHUS']",0
"['Volume', 'BAA', 'TCU', 'T10Y2YM']",0
"['Volume', 'BAA', 'TCU', 'XTEXVA01CNM667S']",0.25
"['Volume', 'BAA', 'TCU', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'BAA', 'TCU', 'XTIMVA01KRM667S']",0
"['Volume', 'BAA', 'TCU', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'TCU', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'TCU', 'LRUNTTTTKRM156S']",0
"['Volume', 'BAA', 'TCU', 'IR3TCD01KRM156N']",0.125
"['Volume', 'BAA', 'INDPRO', 'PPIACO']",0.125
"['Volume', 'BAA', 'INDPRO', 'CPIAUCSL']",0.125
"['Volume', 'BAA', 'INDPRO', 'HOUST']",0
"['Volume', 'BAA', 'INDPRO', 'HSN1F']",0
"['Volume', 'BAA', 'INDPRO', 'FEDFUNDS']",0
"['Volume', 'BAA', 'INDPRO', 'USSLIND']",0
"['Volume', 'BAA', 'INDPRO', 'TOTALSA']",0.125
"['Volume', 'BAA', 'INDPRO', 'NEWORDER']",0.125
"['Volume', 'BAA', 'INDPRO', 'UMCSENT']",0.125
"['Volume', 'BAA', 'INDPRO', 'AMBNS']",0
"['Volume', 'BAA', 'INDPRO', 'EXJPUS']",0
"['Volume', 'BAA', 'INDPRO', 'EXKOUS']",0.125
"['Volume', 'BAA', 'INDPRO', 'EXCHUS']",0
"['Volume', 'BAA', 'INDPRO', 'T10Y2YM']",0
"['Volume', 'BAA', 'INDPRO', 'XTEXVA01CNM667S']",0.25
"['Volume', 'BAA', 'INDPRO', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'BAA', 'INDPRO', 'XTIMVA01KRM667S']",0.125
"['Volume', 'BAA', 'INDPRO', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'INDPRO', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'INDPRO', 'LRUNTTTTKRM156S']",0.125
"['Volume', 'BAA', 'INDPRO', 'IR3TCD01KRM156N']",0.25
"['Volume', 'BAA', 'PPIACO', 'CPIAUCSL']",0.25
"['Volume', 'BAA', 'PPIACO', 'HOUST']",0.5
"['Volume', 'BAA', 'PPIACO', 'HSN1F']",0.125
"['Volume', 'BAA', 'PPIACO', 'FEDFUNDS']",0.125
"['Volume', 'BAA', 'PPIACO', 'USSLIND']",0.25
"['Volume', 'BAA', 'PPIACO', 'TOTALSA']",0.125
"['Volume', 'BAA', 'PPIACO', 'NEWORDER']",0.125
"['Volume', 'BAA', 'PPIACO', 'UMCSENT']",0.5
"['Volume', 'BAA', 'PPIACO', 'AMBNS']",0.125
"['Volume', 'BAA', 'PPIACO', 'EXJPUS']",0.125
"['Volume', 'BAA', 'PPIACO', 'EXKOUS']",0.25
"['Volume', 'BAA', 'PPIACO', 'EXCHUS']",0.125
"['Volume', 'BAA', 'PPIACO', 'T10Y2YM']",0
"['Volume', 'BAA', 'PPIACO', 'XTEXVA01CNM667S']",0.625
"['Volume', 'BAA', 'PPIACO', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'BAA', 'PPIACO', 'XTIMVA01KRM667S']",0.125
"['Volume', 'BAA', 'PPIACO', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'PPIACO', 'KORCPIALLMINMEI']",0.125
"['Volume', 'BAA', 'PPIACO', 'LRUNTTTTKRM156S']",0.125
"['Volume', 'BAA', 'PPIACO', 'IR3TCD01KRM156N']",0.375
"['Volume', 'BAA', 'CPIAUCSL', 'HOUST']",0.125
"['Volume', 'BAA', 'CPIAUCSL', 'HSN1F']",0
"['Volume', 'BAA', 'CPIAUCSL', 'FEDFUNDS']",0
"['Volume', 'BAA', 'CPIAUCSL', 'USSLIND']",0
"['Volume', 'BAA', 'CPIAUCSL', 'TOTALSA']",0.25
"['Volume', 'BAA', 'CPIAUCSL', 'NEWORDER']",0.375
"['Volume', 'BAA', 'CPIAUCSL', 'UMCSENT']",0.25
"['Volume', 'BAA', 'CPIAUCSL', 'AMBNS']",0
"['Volume', 'BAA', 'CPIAUCSL', 'EXJPUS']",0
"['Volume', 'BAA', 'CPIAUCSL', 'EXKOUS']",0.25
"['Volume', 'BAA', 'CPIAUCSL', 'EXCHUS']",0
"['Volume', 'BAA', 'CPIAUCSL', 'T10Y2YM']",0
"['Volume', 'BAA', 'CPIAUCSL', 'XTEXVA01CNM667S']",0.375
"['Volume', 'BAA', 'CPIAUCSL', 'GACDFSA066MSFRBPHI']",0.125
"['Volume', 'BAA', 'CPIAUCSL', 'XTIMVA01KRM667S']",0.25
"['Volume', 'BAA', 'CPIAUCSL', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'CPIAUCSL', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'CPIAUCSL', 'LRUNTTTTKRM156S']",0.375
"['Volume', 'BAA', 'CPIAUCSL', 'IR3TCD01KRM156N']",0.125
"['Volume', 'BAA', 'HOUST', 'HSN1F']",0
"['Volume', 'BAA', 'HOUST', 'FEDFUNDS']",0
"['Volume', 'BAA', 'HOUST', 'USSLIND']",0.125
"['Volume', 'BAA', 'HOUST', 'TOTALSA']",0.125
"['Volume', 'BAA', 'HOUST', 'NEWORDER']",0.25
"['Volume', 'BAA', 'HOUST', 'UMCSENT']",0.125
"['Volume', 'BAA', 'HOUST', 'AMBNS']",0.25
"['Volume', 'BAA', 'HOUST', 'EXJPUS']",0
"['Volume', 'BAA', 'HOUST', 'EXKOUS']",0.5
"['Volume', 'BAA', 'HOUST', 'EXCHUS']",0
"['Volume', 'BAA', 'HOUST', 'T10Y2YM']",0
"['Volume', 'BAA', 'HOUST', 'XTEXVA01CNM667S']",0.25
"['Volume', 'BAA', 'HOUST', 'GACDFSA066MSFRBPHI']",0.125
"['Volume', 'BAA', 'HOUST', 'XTIMVA01KRM667S']",0.375
"['Volume', 'BAA', 'HOUST', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'HOUST', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'HOUST', 'LRUNTTTTKRM156S']",0.125
"['Volume', 'BAA', 'HOUST', 'IR3TCD01KRM156N']",0.125
"['Volume', 'BAA', 'HSN1F', 'FEDFUNDS']",0
"['Volume', 'BAA', 'HSN1F', 'USSLIND']",0.125
"['Volume', 'BAA', 'HSN1F', 'TOTALSA']",0
"['Volume', 'BAA', 'HSN1F', 'NEWORDER']",0.25
"['Volume', 'BAA', 'HSN1F', 'UMCSENT']",0
"['Volume', 'BAA', 'HSN1F', 'AMBNS']",0
"['Volume', 'BAA', 'HSN1F', 'EXJPUS']",0
"['Volume', 'BAA', 'HSN1F', 'EXKOUS']",0.375
"['Volume', 'BAA', 'HSN1F', 'EXCHUS']",0
"['Volume', 'BAA', 'HSN1F', 'T10Y2YM']",0
"['Volume', 'BAA', 'HSN1F', 'XTEXVA01CNM667S']",0.5
"['Volume', 'BAA', 'HSN1F', 'GACDFSA066MSFRBPHI']",0.125
"['Volume', 'BAA', 'HSN1F', 'XTIMVA01KRM667S']",0.125
"['Volume', 'BAA', 'HSN1F', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'HSN1F', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'HSN1F', 'LRUNTTTTKRM156S']",0
"['Volume', 'BAA', 'HSN1F', 'IR3TCD01KRM156N']",0.125
"['Volume', 'BAA', 'FEDFUNDS', 'USSLIND']",0
"['Volume', 'BAA', 'FEDFUNDS', 'TOTALSA']",0
"['Volume', 'BAA', 'FEDFUNDS', 'NEWORDER']",0.25
"['Volume', 'BAA', 'FEDFUNDS', 'UMCSENT']",0.375
"['Volume', 'BAA', 'FEDFUNDS', 'AMBNS']",0
"['Volume', 'BAA', 'FEDFUNDS', 'EXJPUS']",0
"['Volume', 'BAA', 'FEDFUNDS', 'EXKOUS']",0.25
"['Volume', 'BAA', 'FEDFUNDS', 'EXCHUS']",0
"['Volume', 'BAA', 'FEDFUNDS', 'T10Y2YM']",0
"['Volume', 'BAA', 'FEDFUNDS', 'XTEXVA01CNM667S']",0.625
"['Volume', 'BAA', 'FEDFUNDS', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'BAA', 'FEDFUNDS', 'XTIMVA01KRM667S']",0.5
"['Volume', 'BAA', 'FEDFUNDS', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'FEDFUNDS', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'FEDFUNDS', 'LRUNTTTTKRM156S']",0
"['Volume', 'BAA', 'FEDFUNDS', 'IR3TCD01KRM156N']",0
"['Volume', 'BAA', 'USSLIND', 'TOTALSA']",0
"['Volume', 'BAA', 'USSLIND', 'NEWORDER']",0.25
"['Volume', 'BAA', 'USSLIND', 'UMCSENT']",0.375
"['Volume', 'BAA', 'USSLIND', 'AMBNS']",0.125
"['Volume', 'BAA', 'USSLIND', 'EXJPUS']",0
"['Volume', 'BAA', 'USSLIND', 'EXKOUS']",0.25
"['Volume', 'BAA', 'USSLIND', 'EXCHUS']",0.25
"['Volume', 'BAA', 'USSLIND', 'T10Y2YM']",0
"['Volume', 'BAA', 'USSLIND', 'XTEXVA01CNM667S']",0.375
"['Volume', 'BAA', 'USSLIND', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'BAA', 'USSLIND', 'XTIMVA01KRM667S']",0.25
"['Volume', 'BAA', 'USSLIND', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'USSLIND', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'USSLIND', 'LRUNTTTTKRM156S']",0
"['Volume', 'BAA', 'USSLIND', 'IR3TCD01KRM156N']",0.25
"['Volume', 'BAA', 'TOTALSA', 'NEWORDER']",0
"['Volume', 'BAA', 'TOTALSA', 'UMCSENT']",0.375
"['Volume', 'BAA', 'TOTALSA', 'AMBNS']",0.125
"['Volume', 'BAA', 'TOTALSA', 'EXJPUS']",0
"['Volume', 'BAA', 'TOTALSA', 'EXKOUS']",0.375
"['Volume', 'BAA', 'TOTALSA', 'EXCHUS']",0
"['Volume', 'BAA', 'TOTALSA', 'T10Y2YM']",0
"['Volume', 'BAA', 'TOTALSA', 'XTEXVA01CNM667S']",0.375
"['Volume', 'BAA', 'TOTALSA', 'GACDFSA066MSFRBPHI']",0.125
"['Volume', 'BAA', 'TOTALSA', 'XTIMVA01KRM667S']",0.125
"['Volume', 'BAA', 'TOTALSA', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'TOTALSA', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'TOTALSA', 'LRUNTTTTKRM156S']",0
"['Volume', 'BAA', 'TOTALSA', 'IR3TCD01KRM156N']",0.125
"['Volume', 'BAA', 'NEWORDER', 'UMCSENT']",0.5
"['Volume', 'BAA', 'NEWORDER', 'AMBNS']",0.125
"['Volume', 'BAA', 'NEWORDER', 'EXJPUS']",0.25
"['Volume', 'BAA', 'NEWORDER', 'EXKOUS']",0.25
"['Volume', 'BAA', 'NEWORDER', 'EXCHUS']",0.125
"['Volume', 'BAA', 'NEWORDER', 'T10Y2YM']",0
"['Volume', 'BAA', 'NEWORDER', 'XTEXVA01CNM667S']",0.5
"['Volume', 'BAA', 'NEWORDER', 'GACDFSA066MSFRBPHI']",0.125
"['Volume', 'BAA', 'NEWORDER', 'XTIMVA01KRM667S']",0.125
"['Volume', 'BAA', 'NEWORDER', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'NEWORDER', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'NEWORDER', 'LRUNTTTTKRM156S']",0.125
"['Volume', 'BAA', 'NEWORDER', 'IR3TCD01KRM156N']",0.375
"['Volume', 'BAA', 'UMCSENT', 'AMBNS']",0.5
"['Volume', 'BAA', 'UMCSENT', 'EXJPUS']",0
"['Volume', 'BAA', 'UMCSENT', 'EXKOUS']",0.5
"['Volume', 'BAA', 'UMCSENT', 'EXCHUS']",0.125
"['Volume', 'BAA', 'UMCSENT', 'T10Y2YM']",0
"['Volume', 'BAA', 'UMCSENT', 'XTEXVA01CNM667S']",0.5
"['Volume', 'BAA', 'UMCSENT', 'GACDFSA066MSFRBPHI']",0.25
"['Volume', 'BAA', 'UMCSENT', 'XTIMVA01KRM667S']",0.375
"['Volume', 'BAA', 'UMCSENT', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'UMCSENT', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'UMCSENT', 'LRUNTTTTKRM156S']",0.375
"['Volume', 'BAA', 'UMCSENT', 'IR3TCD01KRM156N']",0.25
"['Volume', 'BAA', 'AMBNS', 'EXJPUS']",0.125
"['Volume', 'BAA', 'AMBNS', 'EXKOUS']",0.125
"['Volume', 'BAA', 'AMBNS', 'EXCHUS']",0
"['Volume', 'BAA', 'AMBNS', 'T10Y2YM']",0
"['Volume', 'BAA', 'AMBNS', 'XTEXVA01CNM667S']",0.5
"['Volume', 'BAA', 'AMBNS', 'GACDFSA066MSFRBPHI']",0.125
"['Volume', 'BAA', 'AMBNS', 'XTIMVA01KRM667S']",0.125
"['Volume', 'BAA', 'AMBNS', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'AMBNS', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'AMBNS', 'LRUNTTTTKRM156S']",0.125
"['Volume', 'BAA', 'AMBNS', 'IR3TCD01KRM156N']",0.125
"['Volume', 'BAA', 'EXJPUS', 'EXKOUS']",0.125
"['Volume', 'BAA', 'EXJPUS', 'EXCHUS']",0
"['Volume', 'BAA', 'EXJPUS', 'T10Y2YM']",0
"['Volume', 'BAA', 'EXJPUS', 'XTEXVA01CNM667S']",0.125
"['Volume', 'BAA', 'EXJPUS', 'GACDFSA066MSFRBPHI']",0.125
"['Volume', 'BAA', 'EXJPUS', 'XTIMVA01KRM667S']",0.125
"['Volume', 'BAA', 'EXJPUS', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'EXJPUS', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'EXJPUS', 'LRUNTTTTKRM156S']",0
"['Volume', 'BAA', 'EXJPUS', 'IR3TCD01KRM156N']",0
"['Volume', 'BAA', 'EXKOUS', 'EXCHUS']",0.125
"['Volume', 'BAA', 'EXKOUS', 'T10Y2YM']",0.25
"['Volume', 'BAA', 'EXKOUS', 'XTEXVA01CNM667S']",0.625
"['Volume', 'BAA', 'EXKOUS', 'GACDFSA066MSFRBPHI']",0.125
"['Volume', 'BAA', 'EXKOUS', 'XTIMVA01KRM667S']",0.25
"['Volume', 'BAA', 'EXKOUS', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'EXKOUS', 'KORCPIALLMINMEI']",0.125
"['Volume', 'BAA', 'EXKOUS', 'LRUNTTTTKRM156S']",0.25
"['Volume', 'BAA', 'EXKOUS', 'IR3TCD01KRM156N']",0.5
"['Volume', 'BAA', 'EXCHUS', 'T10Y2YM']",0
"['Volume', 'BAA', 'EXCHUS', 'XTEXVA01CNM667S']",0.125
"['Volume', 'BAA', 'EXCHUS', 'GACDFSA066MSFRBPHI']",0
"['Volume', 'BAA', 'EXCHUS', 'XTIMVA01KRM667S']",0.125
"['Volume', 'BAA', 'EXCHUS', 'KORPROINDMISMEI']",0
"['Volume', 'BAA', 'EXCHUS', 'KORCPIALLMINMEI']",0
"['Volume', 'BAA', 'EXCHUS', 'LRUNTTTTKRM156S']",0
"['Volume', 'BAA', 'EXCHUS', 'IR3TCD01KRM156N']",0
"['Volume', 'BAA', 'T10Y2YM', 'XTEXVA01CNM667S']",0.125
"['Volume', 'BAA', 'T10Y2YM', 'GACDFSA066MSFRBPHI']",0
