,0,T10Y2YM,TWEXBMTH,ÇÑ±¹½Ç¾÷·ü
130,2015-08-01,,,
131,2015-09-01,,,
132,2015-10-01,,,
133,2015-11-01,,,
134,2015-12-01,,,
135,2016-01-01,,,
136,2016-02-01,,,
137,2016-03-01,,,
138,2016-04-01,,,
139,2016-05-01,,,
140,2016-06-01,,,
141,2016-07-01,,,
142,2016-08-01,,,
143,2016-09-01,,,
144,2016-10-01,,,
145,2016-11-01,,,
146,2016-12-01,,,
147,2017-01-01,,,
148,2017-02-01,,,
149,2017-03-01,,,
150,2017-04-01,,,
151,2017-05-01,,,
152,2017-06-01,,,
153,2017-07-01,,,
154,2017-08-01,,,
155,2017-09-01,,,
156,2017-10-01,,,
157,2017-11-01,,,
158,2017-12-01,,,
159,2018-01-01,,,
160,2018-02-01,,,
161,2018-03-01,,,
162,2018-04-01,,,
163,2018-05-01,,,
164,2018-06-01,,,
165,2018-07-01,,,
166,2018-08-01,,,
167,2018-09-01,,,
168,2018-10-01,,,
169,2018-11-01,,,
170,2018-12-01,,,
171,2019-01-01,,,
172,2019-02-01,,,
173,2019-03-01,,,
130,,1.47,119.1081,3.4
131,,1.46,120.014,3.2
132,,1.43,118.9676,3.1
133,,1.38,120.7741,3.0
134,,1.26,121.9999,3.2
135,,1.19,124.6274,3.7
136,,1.05,123.6308,4.9
137,,1.01,121.1184,4.2
138,,1.04,119.1667,3.9
139,,0.99,120.4312,3.6
140,,0.91,120.8707,3.6
141,,0.83,121.6998,3.5
142,,0.82,120.5713,3.6
143,,0.86,121.5131,3.5
144,,0.92,122.6436,3.3
145,,1.16,125.5546,3.1
146,,1.29,127.5298,3.2
147,,1.22,127.3608,3.7
148,,1.22,125.5663,4.9
149,,1.17,125.0383,4.1
150,,1.06,124.1198,4.2
151,,1.0,123.6334,3.6
152,,0.85,122.01799999999999,3.8
153,,0.95,120.3483,3.4
154,,0.87,119.0332,3.6
155,,0.82,117.9039,3.3
156,,0.81,120.0242,3.2
157,,0.65,120.2491,3.1
158,,0.56,119.9313,3.3
159,,0.55,117.1935,3.7
160,,0.68,117.5502,4.6
161,,0.56,118.0646,4.5
162,,0.49,118.1483,4.1
163,,0.47,121.4302,4.0
164,,0.38,123.4234,3.7
165,,0.28,124.0589,3.7
166,,0.25,125.334,4.0
167,,0.23,126.0398,3.6
168,,0.29,126.8761,3.5
169,,0.26,128.2981,3.2
170,,0.15,128.5202,3.4
171,,0.17,126.7306,4.5
172,,0.18,126.8096,4.7
173,,0.16,127.2096,4.3
130,0,,,
131,1,,,
132,1,,,
133,0,,,
134,0,,,
135,0,,,
136,0,,,
137,1,,,
138,0,,,
139,0,,,
140,0,,,
141,1,,,
142,0,,,
143,0,,,
144,0,,,
145,0,,,
146,0,,,
147,1,,,
148,0,,,
149,0,,,
150,0,,,
151,0,,,
152,0,,,
153,1,,,
154,0,,,
155,0,,,
156,0,,,
157,0,,,
158,0,,,
159,1,,,
160,0,,,
161,1,,,
162,1,,,
163,1,,,
164,1,,,
165,1,,,
166,1,,,
167,0,,,
168,0,,,
169,0,,,
170,0,,,
171,1,,,
172,1,,,
173,0,,,
0,1,,,
1,1,,,
2,1,,,
3,1,,,
4,0,,,
5,1,,,
6,1,,,
7,1,,,
8,1,,,
9,1,,,
10,1,,,
11,1,,,
12,1,,,
13,1,,,
14,1,,,
15,0,,,
16,0,,,
17,1,,,
18,1,,,
19,1,,,
20,1,,,
21,1,,,
22,1,,,
23,1,,,
24,1,,,
25,1,,,
26,0,,,
27,0,,,
28,1,,,
29,1,,,
30,1,,,
31,1,,,
32,1,,,
33,1,,,
34,1,,,
35,1,,,
36,1,,,
37,1,,,
38,1,,,
39,0,,,
40,1,,,
41,1,,,
42,1,,,
43,1,,,
